frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,http.host,dns.qry.name
Dec 15, 2016 08:20:50.162154000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.162293000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.260017000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.260041000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.260044000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.260180000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.260235000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.260320000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.260651000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.260661000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.260663000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.260759000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.261480000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.265543000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.265557000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.265603000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.270423000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.270833000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.271089000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.288083000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.288354000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.288398000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.288405000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.288638000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.288645000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.288648000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.288650000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.288747000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.289106000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.289113000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.289117000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.289221000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.368444000 +07,185.153.198.117,10.12.15.101,80,49208,,,
